,Number_of_Workers,Number_of_partial_siddhi_apps,DataRate,No of String Attributes in input Stream,No of float Attributes in input Stream,Throughput
0,3,9,3,4,7,473.6503754884473
1,3,9,3,4,7,473.6503754884473
2,3,9,3,4,7,473.6503754884473
3,3,9,3,4,7,473.6503754884473
4,4,9,3,4,7,482.0509499333487
5,5,9,3,4,7,474.58459297838306
6,6,9,3,4,7,577.8861481903949
7,6,9,3,4,7,577.8861481903949
8,6,9,3,4,7,577.8861481903949
9,7,9,3,4,7,466.1597772540494
10,8,9,3,4,7,408.8518531077547
11,9,9,3,4,7,559.762899583969
12,9,9,3,4,7,559.762899583969
13,10,9,3,4,7,581.3251811609316
14,10,9,3,4,7,581.3251811609316
15,10,9,3,4,7,581.3251811609316
16,2,9,3,4,7,475.7794542548605
17,4,9,3,4,7,482.0509499333487
18,3,9,3,4,7,473.6503754884473
19,6,9,3,4,7,577.8861481903949
20,9,9,3,4,7,559.762899583969
21,3,9,3,4,7,473.6503754884473
22,6,9,3,4,7,577.8861481903949
23,9,9,3,4,7,559.762899583969
24,3,9,3,4,7,473.6503754884473
25,8,9,3,4,7,408.8518531077547
26,6,9,3,4,7,577.8861481903949
27,3,9,3,4,7,473.6503754884473
28,6,9,3,4,7,577.8861481903949
29,9,9,3,4,7,559.762899583969
30,3,9,3,4,7,473.6503754884473
31,6,9,3,4,7,577.8861481903949
32,9,9,3,4,7,559.762899583969
33,8,9,3,4,7,408.8518531077547
34,4,9,3,4,7,482.0509499333487
35,5,9,3,4,7,474.58459297838306
36,6,9,3,4,7,577.8861481903949
