,Number_of_Workers,Number_of_partial_siddhi_apps,DataRate,No of String Attributes in input Stream,No of float Attributes in input Stream,Throughput
0,3,9,3,4,7,473.650375488447
1,3,9,3,4,7,473.650375488447
2,3,9,3,4,7,473.650375488447
3,3,9,3,4,7,473.650375488447
4,4,9,3,4,7,482.050949933349
5,5,9,3,4,7,474.584592978383
6,6,9,3,4,7,577.886148190395
7,6,9,3,4,7,577.886148190395
8,6,9,3,4,7,577.886148190395
9,7,9,3,4,7,466.159777254049
10,8,9,3,4,7,408.851853107755
11,9,9,3,4,7,559.762899583969
12,9,9,3,4,7,559.762899583969
13,10,9,3,4,7,581.325181160932
14,10,9,3,4,7,581.325181160932
15,10,9,3,4,7,581.325181160932
16,2,9,3,4,7,475.779454254861
17,4,9,3,4,7,482.050949933349
18,3,9,3,4,7,473.650375488447
19,6,9,3,4,7,577.886148190395
20,9,9,3,4,7,559.762899583969
21,3,9,3,4,7,473.650375488447
22,6,9,3,4,7,577.886148190395
23,9,9,3,4,7,559.762899583969
24,3,9,3,4,7,473.650375488447
25,8,9,3,4,7,408.851853107755
26,6,9,3,4,7,577.886148190395
27,3,9,3,4,7,473.650375488447
28,6,9,3,4,7,577.886148190395
29,9,9,3,4,7,559.762899583969
30,3,9,3,4,7,473.650375488447
31,6,9,3,4,7,577.886148190395
32,9,9,3,4,7,559.762899583969
33,8,9,3,4,7,408.851853107755
34,4,9,3,4,7,482.050949933349
35,5,9,3,4,7,474.584592978383
36,6,9,3,4,7,577.886148190395
14,3,9,3,4,7,590.325181160932
